SIZE,Program,Threads,Time (seconds)
5000,Sequential,1,.000277
5000,OpenMP,2,.000996
5000,Pthreads,2,.000455
5000,MPI,2,.000105
10000,Sequential,1,.000607
10000,OpenMP,2,.001117
10000,Pthreads,2,.000613
10000,MPI,2,.000214
20000,Sequential,1,.001169
20000,OpenMP,2,.001363
20000,Pthreads,2,.000120
20000,MPI,2,.000447
40000,Sequential,1,.002099
40000,OpenMP,2,.002378
40000,Pthreads,2,.000173
40000,MPI,2,.000980
60000,Sequential,1,.003412
60000,OpenMP,2,.002994
60000,Pthreads,2,.000184
60000,MPI,2,.001503
80000,Sequential,1,.004291
80000,OpenMP,2,.004138
80000,Pthreads,2,.000253
80000,MPI,2,.001991
100000,Sequential,1,.006254
100000,OpenMP,2,.004331
100000,Pthreads,2,.000448
100000,MPI,2,.002781

